Job ID,Start Date,Date of Completion,Days on Job,Date invoiced,#days to inv completion,City,Job type,Invoice Amt $,PAID Y/N,AMT PAID,Insurance Y/N,Repeat Client
2022LV001,1/17/2022,1/17/2022,1,,,Las Vegas,Cleanout,"$8,145.78",Y,"$8,145.78",N,
2022LV002,1/18/2022,1/18/2022,1,,,Boulder City,Hoarding,"$9,260.00",Y,"$9,260.00",N,
2022LV003,1/21/2022,1/21/2022,1,,,Las Vegas,Blood Cleanup,"$13,108.64",Y,"$13,108.64",Y,
2022LV004,1/23/2022,1/23/2022,1,,,Henderson,Transient feces,"$1,440.98",Y,"$1,440.98",N,
2022LV005,1/25/2022,1/25/2022,1,,,Las Vegas,Transient Camp,"$2,105.38",Y,"$2,105.38",N,
2022LV006,1/29/2022,1/29/2022,1,,,Las Vegas,Blood Cleanup,"$2,494.12",Y,"$2,494.12",N,
2022LV007,1/30/2022,1/30/2022,1,,,Las Vegas,Mattress blood,"$1,441.10",Y,"$1,441.10",N,
2022LV008,2/2/2022,2/2/2022,1,2/22/2022,20,Las Vegas,Hoarding,"$4,145.00",Y,"$4,145.00",N,
2022LV009,2/3/2022,2/4/2022,2,3/15/2022,39,Las Vegas,Blood clean,"$12,459.19",Y,"$12,459.19",N,
2022LV010,2/16/2022,2/18/2022,2,2/22/2022,4,Las Vegas,Hoarding,"$2,656.21",Y,"$2,656.21",,
2022LV011,2/25/2022,2/25/2022,1,2/28/2022,3,Las Vegas,Food truck waste,"$4,702.50",Y,"$4,702.50",N,
2022LV012,3/3/2022,3/3/2022,1,3/15/2022,12,Las Vegas,Blood cleanup,"$2,128.39",Y,"$2,128.39",N,
2022LV013,3/9/2022,3/9/2022,1,3/21/2022,12,Las Vegas,Transient camp,"$1,180.90",Y,"$1,180.90",N,
2022LV014,3/10/2022,3/11/2022,2,3/24/2022,13,Las Vegas,Car clean-suicide,"$1,881.00",Y,"$1,881.00",N,
2022LV015,3/10/2022,3/11/2022,2,3/24/2022,13,Oxnard - vegas crew,Infectious disease,"$3,789.94",Y,"$3,789.94",N,
2022LV016,3/15/2022,3/15/2022,1,3/30/2022,15,Las Vegas,Blood cleanup,"$14,495.45",Y,"$14,495.45",Y,
2022LV017,3/16/2022,3/16/2022,1,3/24/2022,8,Henderson,Gross filth,"$2,000.00",N,,N,
2022LV018,3/20/2022,3/20/2022,1,4/4/2022,15,Las Vegas,Suicide,"$13,882.42",Y,"$13,882.42",Y,
2022LV019,3/28/2022,3/28/2022,1,4/8/2022,11,Las Vegas,Decomp,"$2,500.00",Y,"$2,500.00",N,
2022LV020,3/31/2022,4/1/2022,2,4/20/2022,19,Las Vegas,Rat feces storage,"$3,000.00",Y,"$3,000.00",N,
2022LV021,4/12/2022,4/12/2022,1,,,Las Vegas,Blood clean- car,"$8,384.40",Y,"$8,384.40",Y,
2022LV022,4/20/2022,4/20/2022,1,5/9/2022,19,Las Vegas,Suicide,"$13,534.34",Y,"$13,534.34",Y,
2022LV023,4/20/2022,4/20/2022,1,5/19/2022,29,Las Vegas,Blood clean- car,"$4,676.95",Y,"$4,676.95",N,
2022LV024,4/21/2022,4/21/2022,1,5/2/2022,11,Hendcerson,Suicide,"$2,272.91",Y,"$2,272.91",N,
2022LV025,4/27/2022,4/28/2022,2,5/18/2022,20,Las Vegas,Suicide ,"$19,639.68",Y,"$19,639.68",Y,
2022LV026,4/28/2022,4/28/2022,1,7/6/2022,69,Las Vegas,Decomp,"$2,090.00",Y,"$2,090.00",N,
2022LV027,4/29/2022,5/3/2022,2,5/12/2022,9,Las Vegas,GI bleedout,"$4,000.00",Y,"$4,000.00",N,
2022LV028,5/23/2022,5/23/2022,1,5/23/2022,0,Las Vegas,Gross filth,"$2,500.00",Y,"$2,500.00",N,
2022LV029,5/23/2022,5/23/2022,1,6/7/2022,15,Henderson,Decomp,"$4,915.34",Y,"$4,915.34",N,
2022LV030,5/27/2022,5/27/2022,1,6/2/2022,6,Las Vegas,Blood cleanup,"$1,045.00",Y,"$1,045.00",N,
2022LV031,5/27/2022,5/28/2022,2,6/13/2022,16,Las Vegas,Silica Dust,"$3,135.00",Y,"$3,135.00",N,
2022LV032,5/28/2022,5/30/2022,3,6/7/2022,8,Las Vegas,Suicide/decomp,"$7,884.04",Y,"$7,884.04",N,
2022LV033,5/29/2022,5/30/2022,2,7/14/2022,45,Las Vegas,Gross filth,"$15,294.24",Y,"$15,294.24",Y,
2022LV034,6/3/2022,6/3/2022,1,6/15/2022,12,Las Vegas,Feces urine,"$5,538.29",Y,"$5,538.29",N,
2022LV035,6/8/2022,6/10/2022,3,7/12/2022,32,Las Vegas,Suicide decomp,"$72,947.88",Y,"$72,947.88",Y,
2022LV036,6/14/2022,6/15/2022,2,,,Las Vegas,Gross filth,"$12,950.88",,$499.00,COLLECTIONS,
2022LV037,6/22/2022,6/23/2022,2,7/25/2022,32,Las Vegas,Suicide decomp,"$15,738.90",Y,"$15,738.90",Y,
2022LV038,6/24/2022,6/24/2022,1,7/22/2022,28,Las Vegas,Rats,"$1,452.57",P,$675.00,N,
2022LV039,6/27/2022,6/27/2022,1,7/25/2022,28,Las Vegas,Suicide ,"$6,046.78",N,"$6,046.78",N,
2022LV040,6/28/2022,6/28/2022,1,7/27/2022,29,Las Vegas,Fridge clean out,$750.93,Y,$750.93,N,
2022LV041,6/28/2022,6/28/2022,1,7/14/2022,16,Las Vegas,Suicide/decomp,"$10,381.65",Y,"$10,381.65",Y,
2022LV042,7/5/2022,7/5/2022,1,7/22/2022,17,Las Vegas,Blood cleanup,"$3,135.00",Y,"$3,135.00",N,
2022LV043,7/9/2022,7/9/2022,1,8/8/2022,30,Las Vegas,Suicide,"$2,612.50",N,,N,
2022LV044,7/13/2022,7/20/2022,6,8/23/2022,34,Las Vegas,Decomp (INS),"$58,896.21",Y,"$58,896.21",Y,
2022LV045,7/14/2022,7/14/2022,1,8/16/2022,33,Las Vegas,HVAC Dead Cat,"$2,090.00",Y,"$2,090.00",N,
2022LV046,7/14/2022,7/14/2022,1,8/16/2022,33,Las Vegas,Decomp (Hotel),"$2,090.00",Y,"$2,090.00",N,
2022LV047,7/17/2022,7/17/2022,1,8/16/2022,30,Henderson,Fridge,"$1,045.00",Y,"$1,045.00",N,
2022LV048,7/21/2022,7/21/2022,1,8/18/2022,28,Las Vegas,Decomp,"$3,757.78",Y,"$3,757.78",N,Repeat Client
2022LV049,7/25/2022,7/26/2022,2,8/18/2022,23,Las Vegas,Blood cleanup,"$9,000.00",Y,"$9,000.00",,
2022LV050,7/29/2022,7/29/2022,1,8/26/2022,28,Los Vegas,Bio fluid clean,"$2,445.77",Y,"$2,445.77",N,
2022LV051,7/29/2022,7/29/2022,1,9/1/2022,34,Las Vegas,Blood cleanup,"$10,505.02",N,,Y,
2022LV052,8/2/2022,8/3/2022,2,9/14/2022,42,Las Vegas,Rodents,"$6,756.37",Y,"$6,756.37",N,
2022LV053,8/3/2022,8/3/2022,1,8/12/2022,9,Las Vegas,Feces & covid,"$2,363.96",Y,"$2,363.96",N,
2022LV054,8/4/2022,8/4/2022,1,,,Las Vegas,Rodents,,,,N,
2022LV055,8/4/2022,8/4/2022,1,9/8/2022,35,Las Vegas,Rodents,"$5,225.00",Y,"$5,225.00",N,
2022LV056,8/8/2022,8/10/2022,3,10/19/2022,70,Las Vegas,Water ,"$15,036.29",Y,"$15,036.29",Y,
2022LV057,8/8/2022,8/10/2022,3,9/12/2022,33,Las Vegas,Decomp,"$8,649.61",Y,"$8,649.61",N,
2022LV058,8/12/2022,8/12/2022,1,9/1/2022,20,Las Vegas,Suicide,"$2,090.00",Y,"$2,090.00",N,
2022LV059,8/16/2022,8/16/2022,1,9/9/2022,24,Henderson,Decomp,"$3,500.00",Y,"$3,500.00",N,
2022LV060,8/16/2022,8/16/2022,1,9/8/2022,23,Las Vegas,Blood cleanup,"$3,889.91",Y,"$3,889.91",N,
2022LV061,8/18/2022,8/18/2022,1,9/8/2022,21,Las Vegas,Sewage,"$3,134.44",Y,"$3,134.44",N,
2022LV062,8/19/2022,8/23/2022,3,10/27/2022,65,Las Vegas,Decomp,"$4,500.00",Y,"$4,500.00",,
2022LV063,8/19/2022,8/23/2022,3,10/18/2022,56,Las Vegas,Suicide / Decomp,"$32,794.33",N,"$32,794.33",Y,
2022LV064,8/25/2022,8/25/2022,1,9/1/2022,7,Las Vegas,Blood cleanup,"$1,254.00",Y,"$1,254.00",N,
2022LV065,9/1/2022,9/2/2022,2,9/17/2022,15,Las Vegas,Bio storage unit,"$3,519.03",Y,"$3,519.03",N,
2022LV066,9/1/2022,9/2/2022,2,,,Las Vegas,Suicide,"$11,016.84",N,,Y,
2022LV067,9/2/2022,9/3/2022,2,,,Las Vegas,Suicide,"$9,000.00",N,,Y,
2022LV068,9/4/2022,9/6/2022,2,12/6/2022,91,Las Vegas,Decomp,"$31,663.13",Y,"$31,663.13",Y,
2022LV069,9/5/2022,9/5/2022,1,,,Las Vegas,Feces cleanup,$699.74,N,,,
2022LV070,9/12/2022,9/12/2022,1,9/30/2022,18,Lancaster,Feces cleanup,"$1,799.38",Y,"$1,799.38",,
2022LV071,9/17/2022,9/18/2022,2,11/22/2022,65,Las Vegas,Decomp,"$13,671.67",Y,"$13,671.67",Y,
2022LV072,9/19/2022,9/26/2022,4,11/17/2022,52,Las Vegas,,"$75,000.00",N,,Y,
2022LV073,9/19/2022,9/19/2022,1,10/10/2022,21,Las Vegas,,"$2,961.00",,,N,
2022LV074,9/29/2022,9/29/2022,1,10/7/2022,8,Henderson,,"$3,409.22",Y,"$3,409.22",N,
2022LV075,9/30/2022,9/30/2022,1,9/30/2022,0,Las Vegas,Lead dust clean,"$1,711.12",Y,"$1,711.12",N,
2022LV076,10/1/2022,10/1/2022,1,10/14/2022,13,Las Vegas,Gross Filth,"$3,263.55",Y,"$3,410.41",N,
2022LV077,10/4/2022,10/4/2022,1,10/12/2022,8,Las Vegas,Bodily Fluid,"$1,753.33",N,,N,
2022LV078,10/7/2022,10/7/2022,1,,,Henderson,Suicide,"$5,270.81",,,,
2022LV079,10/7/2022,10/7/2022,1,12/5/2022,59,Henderson,Decomp,"$9,984.00",Y,"$9,984.00",Y,
2022LV080,10/11/2022,10/11/2022,1,10/19/2022,8,Las Vegas,Vomit,"$2,262.56",Y,"$2,262.56",N,
2022LV081,10/13/2022,10/19/2022,4,12/8/2022,50,Henderson,Decomp,"$72,222.48",N,"$72,222.48",Y,
2022LV082,10/13/2022,10/19/2022,6,12/8/2022,50,Las Vegas,Decomp,"$37,190.54",Y,"$37,190.54",Y,
2022LV083,10/19/2022,10/19/2022,1,11/4/2022,16,Las Vegas,Sewage,"$2,120.60",Y,"$2,120.60",N,
2022LV084,10/20/2022,10/20/2022,1,11/2/2022,13,Las Vegas,Suicide,"$2,508.00",Y,"$2,508.00",N,
2022LV085,10/20/2022,11/8/2022,4,12/9/2022,31,Las Vegas,Vehicle Blood,"$21,913.33",Y,"$21,913.33",Y,
2022LV086,10/21/2022,10/21/2022,1,11/22/2022,32,Las Vegas,Decomp,"$14,768.51",Y,"$14,768.51",Y,
2022LV087,10/31/2022,10/31/2022,1,,,Las Vegas,Decomp,$0.00,,,Y,
2022LV088,11/8/2022,11/8/2022,1,11/30/2022,22,Las Vegas,Blood,"$1,254.00",Y,"$1,254.00",N,
2022LV089,11/9/2022,11/9/2022,1,1/3/2023,55,Henderson,Blood Cleanup,"$19,796.57",Y,"$19,796.57",Y,
2022LV090,11/11/2022,11/13/2022,3,12/16/2022,33,Las Vegas,Suicide,"$24,500.00",Y,"$24,500.00",Y,
2022LV091,11/13/2022,11/13/2022,1,12/22/2022,39,Las Vegas,Decomp,"$3,744.50",,,,
2022LV092,11/17/2022,11/30/2022,9,2/2/2023,64,Las Vegas,Homicide/Suicide,"$67,471.29",Y,"$51,725.30",Y,
2022LV093,11/17/2022,11/17/2022,1,12/1/2022,14,Las Vegas,Bodily Fluid,"$1,952.05",Y,"$1,952.05",,
2022LV094,11/18/2022,11/18/2022,1,12/16/2022,28,Las Vegas,Bodily Fluid,"$2,239.19",Y,"$2,239.19",,
2022LV095,11/22/2022,11/22/2022,1,1/3/2023,42,Mojave,Covid Clean,"$5,375.40",N,,N,
2022LV096,11/28/2022,11/30/2022,3,1/20/2023,51,Las Vegas,Decomp,"$10,000.00",Y,"$10,000.00",N,
2022LV097,11/28/2022,11/28/2022,1,1/9/2023,42,Las Vegas,Sewage,"$6,138.34",Y,"$6,414.57",N,
2022LV098,12/1/2022,12/1/2022,1,1/31/2023,61,Las Vegas,Blood Trauma,"$17,387.27",Y,"$17,387.27",Y,
2022LV099,12/6/2022,1/19/2023,3,2/3/2023,15,Las Vegas,Blood Clean,"$24,230.30",N,,Y,
2022LV100,12/9/2022,12/9/2022,1,1/26/2023,48,North Las Vegas,Decomp,"$36,336.07",N,"$35,836.07",Y,
2022LV101,12/10/2022,12/10/2022,1,2/6/2023,58,Henderson,Sucide,"$12,229.17",N,"$8,429.17",Y,
2022LV102,12/19/2022,12/19/2022,1,1/9/2023,21,Las Vegas,Sewage,"$3,315.82",N,"$3,465.03",N,Repeat Client
2022LV103,12/22/2022,12/22/2022,1,3/1/2023,69,Las Vegas,Decomp,"$1,500.00",Y,,N,
2022LV104,12/26/2022,12/27/2022,2,1/23/2023,27,Henderson,Gross Filth,"$9,772.41",Y,"$10,272.47",N,
2022LV105,12/29/2022,12/29/2022,1,,,N Las Vegas,Trauma,"$3,763.51",N,,N,
2022LV106,12/30/2022,12/30/2022,1,,,Las Vegas,Blood cleanup,"$13,296.41",,,Y,Repeat Client
2022LV107,12/30/2022,12/30/2022,1,,,Las Vegas,Feces,"$1,500.00",N,,,